LSOA11CD,LSOA21CD,CHGIND
E01031393,E01031393,U
E01031394,E01031394,U
E01031395,E01031395,U
E01031396,E01031396,U
E01031397,E01031397,U
E01031466,E01031466,U
E01031427,E01031427,U
E01031429,E01031429,U
E01031430,E01031430,U
E01031467,E01034819,S
E01031467,E01034817,S
E01023976,E01023976,U
E01024019,E01024019,U
E01024020,E01024020,U
E01032816,E01032816,U
E01032823,E01032823,U
E01024001,E01024001,U
E01024006,E01024006,U
E01024008,E01024008,U
E01032815,E01032815,U
E01032817,E01032817,U
E01032818,E01032818,U
E01032819,E01032819,U
E01032824,E01032824,U
E01024013,E01024013,U
E01024014,E01024014,U
E01024015,E01024015,U
E01029887,E01029887,U
E01024034,E01034988,S
E01024034,E01034989,S
E01024034,E01034987,S
E01023978,E01023978,U
E01023979,E01023979,U
E01029888,E01029888,U
E01024032,E01024032,U
E01029889,E01029889,U
E01017706,E01017706,U
E01024036,E01024036,U
E01029890,E01029890,U
E01017707,E01017707,U
E01024031,E01024031,U
E01029891,E01029891,U
E01017708,E01017708,U
E01024038,E01024038,U
E01029875,E01029875,U
E01017665,E01017665,U
E01024039,E01024039,U
E01029899,E01029899,U
E01017666,E01017666,U
E01032813,E01032813,U
E01029902,E01029902,U
E01017667,E01017667,U
E01032814,E01032814,U
E01024009,E01024009,U
E01024010,E01024010,U
E01024011,E01024011,U
E01024012,E01024012,U
E01024024,E01024024,U
E01024025,E01024025,U
E01023997,E01023997,U
E01023998,E01023998,U
E01024026,E01024026,U
E01024037,E01024037,U
E01017648,E01017648,U
E01017649,E01017649,U
E01017650,E01033953,S
E01017650,E01033954,S
E01032960,E01033951,S
E01032960,E01033952,S
E01017644,E01017644,U
E01017645,E01017645,U
E01017646,E01017646,U
E01017647,E01017647,U
E01017671,E01017671,U
E01017672,E01017672,U
E01029906,E01029906,U
E01029870,E01029870,U
E01029872,E01029872,U
E01029882,E01029882,U
E01029883,E01029883,U
E01029903,E01029903,U
E01029904,E01029904,U
E01029905,E01029905,U
E01029871,E01029871,U
E01029873,E01029873,U
E01029874,E01029874,U
E01029897,E01029897,U
E01000027,E01000027,U
E01000028,E01000028,U
E01000029,E01000029,U
E01000030,E01000030,U
E01000031,E01000031,U
E01000032,E01000032,U
E01000110,E01000110,U
E01000111,E01000111,U
E01000112,E01000112,U
E01000113,E01000113,U
E01000034,E01000034,U
E01000037,E01000037,U
E01000038,E01000038,U
E01000039,E01000039,U
E01000063,E01000063,U
E01000100,E01000100,U
E01000101,E01000101,U
E01000109,E01034469,S
E01000109,E01034470,S
E01000114,E01000114,U
E01000033,E01000033,U
E01000060,E01000060,U
E01000061,E01000061,U
E01000062,E01000062,U
E01000064,E01000064,U
