LSOA11CD,pct_bad_health_2011,pct_bad_health_2021
E01000581,4.0,4.428
E01000582,2.653,2.161
E01000583,5.455,3.317
E01000584,5.015,4.103
E01000585,4.19,4.322
E01000586,4.436,3.613
E01000587,7.963,3.2
E01000588,5.371,3.409
E01000589,5.487,3.413
E01000590,4.919,4.651
E01000591,5.88,3.21
E01000592,5.795,4.092
E01000593,4.639,4.243
E01000594,4.358,2.698
E01000595,7.24,5.826
E01000596,7.143,6.277
E01000599,7.187,6.141
E01000600,7.377,5.184
E01000601,5.914,7.225
E01000602,7.073,6.048
E01000603,6.052,5.947
E01000604,6.229,5.693
E01000605,7.702,7.435
E01000606,4.971,3.045
E01000607,4.229,3.085
E01000608,4.817,5.988
E01000609,4.521,3.883
E01000610,7.183,6.731
E01000611,6.855,3.316
E01000612,5.69,4.02
E01000613,5.021,3.989
E01000615,4.304,2.287
E01000616,4.179,3.048
E01000617,5.943,3.929
E01000618,5.308,3.28
E01000619,4.964,3.948
E01000620,8.863,5.771
E01000621,3.879,3.424
E01000622,5.237,3.788
E01000623,4.007,3.029
E01000624,6.331,4.754
E01000625,6.383,4.366
E01000626,7.867,5.498
E01000627,5.368,5.078
E01000628,5.077,5.207
E01000629,4.971,3.035
E01000630,6.477,3.516
E01000631,5.632,3.766
E01000632,5.942,3.347
E01000633,5.685,2.599
E01000634,4.097,3.367
E01000635,4.762,3.491
E01000636,4.899,3.537
E01000637,6.687,5.511
E01000638,4.074,4.769
E01000639,3.472,3.615
E01000640,4.239,3.883
E01000641,4.627,4.926
E01000642,4.528,3.523
E01000643,6.943,7.232
E01000644,4.825,4.341
E01000645,2.473,1.311
E01000646,5.058,4.65
E01000647,1.492,1.933
E01000648,2.294,2.276
E01000649,4.745,3.043
E01000650,3.925,3.601
E01000651,7.125,4.878
E01000652,4.0,2.572
E01000653,4.545,5.191
E01000654,3.456,3.544
E01000655,3.401,3.461
E01000656,2.429,3.05
E01000657,3.34,2.797
E01000658,5.228,5.263
E01000659,2.394,2.799
E01000661,7.152,6.638
E01000662,5.342,4.16
E01000663,5.9,5.77
E01000664,3.913,3.844
